year,deep,deep_allowed,xpts,wins,draws,loses,pts,ppda_coef,oppda_coef,xG_diff,xGA_diff,xpts_diff,league_encoded,h_a_encoded,rolling_xG,rolling_xGA,rolling_npxG,rolling_scored,rolling_missed,rolling_deep,rolling_deep_allowed,rolling_ppda_coef,rolling_oppda_coef,rolling_ppda_att,rolling_ppda_def,rolling_oppda_att,rolling_oppda_def,goal_difference,xG_difference,npxG_difference,result_encoded,scored,missed,xG,xGA
-1.4585476563406212,0.04768771036126406,0.04768771036126406,-1.1031028958291198,-0.7726818423838734,1.7214057236076763,-0.7726818423838734,-0.2842712154098889,-0.3427812913881577,0.4571841535286642,-0.9237004024713726,0.25326813975112417,-0.5085864806436606,1.4879914064727164,-1.0,-0.115399802119105,-0.2308705435231637,0.12757111974824545,0.08792244337135523,-0.5516124970499185,-0.147267604975081,-0.2736933239913741,-0.7572151003489127,-0.13182099967320288,-0.7190401821173754,0.18836290574597553,0.7762410111611865,1.1587102549906083,0.0,-0.8549382801740416,-1.5601195468066444,0,2,2,1.08993,2.20963
-1.4585476563406212,-0.4463750591560679,-0.4463750591560679,-0.009545872369016268,-0.7726818423838734,1.7214057236076763,-0.7726818423838734,-0.2842712154098889,-0.15792283646274544,-0.4275446938939706,-0.1414541243385634,-0.2205781129491344,0.34802388614520147,1.4879914064727164,1.0,-0.32302540548689956,0.5188244951934824,-0.42712497655526027,0.08792244337135523,0.1034411092195931,-0.147267604975081,0.00652337819984938,-0.5269653479624853,0.20758935577008716,-0.30077405236399835,0.18836290574597553,0.6394849725828143,0.047493220474001285,0.0,0.057474880862571104,0.062432948608918036,0,1,1,0.834114,0.75884
-1.4585476563406212,0.29471909511993005,-0.9404378286733999,1.7849656641304563,1.2941937355675475,-0.580920573392905,-0.7726818423838734,1.2365442105940445,0.27319872891482094,2.0783616105110063,0.4978383556294022,0.29835916373586846,-0.14817869976779618,1.4879914064727164,1.0,-0.8694437275777496,0.17115299013669916,-1.013453007934349,-0.5024269171681592,0.1034411092195931,-0.22153725693251797,0.00652337819984938,-0.49832279228749965,0.0863654989024228,-0.11724911788037379,0.3288035462936806,0.5431341272207781,0.18639534978857678,1.0807281759785867,1.6719842480946245,1.1848633042431875,2,2,0,2.4423,0.252527
-1.4585476563406212,-0.19934367439740192,0.541750479878596,0.7584205719481033,-0.7726818423838734,-0.580920573392905,1.2941937355675475,-1.0446789284118556,-0.18089058237237376,-0.28302049251718847,1.872222689505741,-0.07187033979087677,1.9005350815487274,1.4879914064727164,-1.0,-0.2254585988728098,0.12268226012295377,-0.654298118387515,-0.207252236898402,-0.22408569391516273,0.0012716989397925165,-0.2736933239913741,-0.4463576620970456,0.8636439596558398,-0.39893855220407654,0.001108718349035749,0.7638086440176988,-0.6470174260988786,-0.5403640879892934,0.6486276316256926,0.704581462090212,1,0,1,1.74981,0.900312
-1.4585476563406212,-0.6934064439147339,0.04768771036126406,0.3153163162166007,1.2941937355675475,-0.580920573392905,-0.7726818423838734,1.2365442105940445,0.8368860618905933,0.17775960375490127,-0.5490508286400407,1.197670557148464,-1.2993915217422596,1.4879914064727164,1.0,0.28244729059773155,-0.34241528332746307,-0.10929541943044334,-0.5024269171681592,-0.22408569391516273,-0.22153725693251797,-0.6473155935796722,-0.41311860009840295,0.725754537682757,-0.5867315084198788,-0.2797725627463735,0.549350310792523,-0.6470174260988786,1.0807281759785867,0.2582834438103716,0.2805642522775286,2,2,0,1.44635,1.10808
-1.4585476563406212,-0.6934064439147339,1.5298760189132599,-1.0553933143215908,-0.7726818423838734,1.7214057236076763,-0.7726818423838734,-0.2842712154098889,-0.2652981811221077,-0.9672372149493862,0.270211567394318,1.1419492903598472,-0.4712143809380631,1.4879914064727164,-1.0,0.4143961202907481,-0.5878493551307967,0.03229078738020131,0.08792244337135523,-0.8791393001846743,-0.29580690888995487,-0.2736933239913741,0.1563710085535148,0.6238362692678705,-0.17700142213085648,-0.7947215780879573,0.3535405282825796,-0.6933181358704045,0.0,-0.6332216392357026,-0.6878464725309731,0,0,0,0.225749,1.05507
-1.4585476563406212,-0.4463750591560679,-0.4463750591560679,0.2691849142500332,-0.7726818423838734,-0.580920573392905,1.2941937355675475,-1.0446789284118556,-1.0513806445167848,0.1989221923773181,-0.09253377428494636,-1.4108846509135808,1.5173046443641012,1.4879914064727164,1.0,0.06328246222651486,-1.1101007087150072,-0.012561993001246814,-0.5024269171681592,-1.5341929064541862,-0.5186158647622654,0.28674008039107324,0.18329974725491044,0.18521975619384265,-0.04896077016553694,-0.7010944843894878,0.12354173612804362,0.09379393024552644,-0.5403640879892934,0.1940947357641171,0.210838308515992,1,1,2,0.880654,0.626451
-1.4585476563406212,-1.4345005981907317,1.282844634154594,-1.3060810644820164,-0.7726818423838734,1.7214057236076763,-0.7726818423838734,-0.2842712154098889,0.3252564335475038,-0.9289933940817329,0.07389001906677184,1.9855257520815761,-0.6675843195947018,1.4879914064727164,-1.0,0.08219149823437656,-1.1699852833145603,0.007728135293393295,-0.5024269171681592,-1.2066661033194304,-0.5186158647622654,0.28674008039107324,-0.12721556080637117,0.3781252596448678,-0.6550198561347156,-0.5138402969925481,0.32245961042385846,-0.04510819906904985,0.0,-1.3885932438064799,-2.139810229402826,0,1,1,1.03898,2.8576
-1.4585476563406212,0.04768771036126406,0.541750479878596,-0.38976574331451397,-0.7726818423838734,-0.580920573392905,1.2941937355675475,-1.0446789284118556,-0.6740345882973771,0.3400061165267639,0.7236508653042686,-0.043495695842717376,1.001132234180937,1.4879914064727164,1.0,-0.4879724126068701,0.008388209995167928,-0.6041195063075856,-0.7976015974379165,-0.8791393001846743,-1.0385034284643235,1.1273901869647436,-0.10912325242284739,-0.5479178304693904,-0.35625833488230335,-0.2797725627463735,-0.25875355353422597,0.6031017377323048,-0.5403640879892934,-0.20629461416067044,-0.22409060881720208,1,0,1,0.657125,0.927306
-1.4585476563406212,-1.187469213432066,1.035813249395928,-1.5804415077568648,-0.7726818423838734,-0.580920573392905,1.2941937355675475,-1.0446789284118556,0.008752819617544785,-0.6847087009797368,-0.9080372710543346,-0.3627876995145374,0.06844634636286849,1.4879914064727164,-1.0,-0.931926430876094,0.020598621787237866,-1.0804993695570297,-0.7976015974379165,-0.8791393001846743,-0.9642337765068866,1.1273901869647436,-0.2805121658533461,-0.35607167815901447,-0.5739274432233469,-0.23295901589713877,-0.12199751495585336,0.4178988986462034,-1.0807281759785867,-1.923148423775727,-2.089048727147558,1,1,3,0.104831,2.62355
